KOR,MATH,MEAN
90,72,81.0
94,100,97.0
80,84,82.0
93,71,82.0
84,76,80.0
91,78,84.5
62,96,79.0
98,48,73.0
50,91,70.5
97,93,95.0
68,87,77.5
67,75,71.0
99,48,73.5
62,88,75.0
82,72,77.0
87,80,83.5
81,91,86.0
79,89,84.0
70,92,81.0
63,93,78.0
87,72,79.5
47,98,72.5
91,66,78.5
85,56,70.5
94,82,88.0
61,83,72.0
48,98,73.0
90,78,84.0
94,98,96.0
92,71,81.5
86,85,85.5
54,95,74.5
84,67,75.5
95,50,72.5
92,74,83.0
86,85,85.5
81,63,72.0
68,100,84.0
48,97,72.5
77,67,72.0
80,78,79.0
95,57,76.0
50,96,73.0
85,77,81.0
96,76,86.0
93,92,92.5
95,84,89.5
95,88,91.5
78,69,73.5
87,90,88.5
98,82,90.0
96,66,81.0
91,62,76.5
90,59,74.5
92,48,70.0
73,97,85.0
90,61,75.5
43,99,71.0
46,95,70.5
98,87,92.5
97,97,97.0
91,86,88.5
93,100,96.5
72,92,82.0
98,47,72.5
61,98,79.5
89,86,87.5
59,93,76.0
94,90,92.0
85,65,75.0
81,69,75.0
56,97,76.5
91,58,74.5
73,92,82.5
88,100,94.0
56,98,77.0
86,75,80.5
83,87,85.0
62,92,77.0
77,83,80.0
97,60,78.5
56,96,76.0
99,55,77.0
91,81,86.0
62,78,70.0
84,73,78.5
72,96,84.0
87,90,88.5
91,69,80.0
99,69,84.0
43,100,71.5
96,60,78.0
97,92,94.5
66,78,72.0
92,98,95.0
92,58,75.0
87,75,81.0
100,59,79.5
78,67,72.5
61,92,76.5
100,60,80.0
99,59,79.0
98,72,85.0
93,56,74.5
81,74,77.5
99,64,81.5
96,54,75.0
78,99,88.5
85,98,91.5
88,64,76.0
98,46,72.0
98,78,88.0
69,81,75.0
87,95,91.0
65,98,81.5
86,99,92.5
66,97,81.5
82,91,86.5
82,60,71.0
93,85,89.0
85,59,72.0
50,93,71.5
99,85,92.0
84,87,85.5
84,57,70.5
70,73,71.5
68,94,81.0
78,68,73.0
69,78,73.5
92,86,89.0
93,59,76.0
89,95,92.0
98,96,97.0
87,90,88.5
89,75,82.0
81,71,76.0
84,100,92.0
76,67,71.5
83,57,70.0
92,61,76.5
69,95,82.0
82,92,87.0
78,77,77.5
71,93,82.0
54,89,71.5
94,98,96.0
60,100,80.0
86,93,89.5
78,70,74.0
74,83,78.5
99,42,70.5
75,87,81.0
76,98,87.0
59,97,78.0
